,defect_type,roc_auc
0,bottle,0.984920634920635
1,cable,0.7899175412293853
2,capsule,0.9190267251695254
3,carpet,0.9502407704654896
4,grid,1.0
5,hazelnut,0.9689285714285714
6,leather,1.0
7,metal_nut,0.9638318670576735
8,pill,0.9399890889252591
9,screw,0.8434105349456855
10,tile,0.904040404040404
11,toothbrush,0.9416666666666668
12,transistor,0.9404166666666667
13,wood,0.9780701754385965
14,zipper,0.9910714285714286
15,average,0.9410354050350659
